DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_YEAR,MEASURE_NAME,MEASURE_VALUE
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2011/2012,FIRST TIME GRADE 12 GRAD,93
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,1996/1997,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,1997/1998,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,1998/1999,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,1999/2000,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2000/2001,FIRST TIME GRADE 12 GRAD,86
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2001/2002,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2002/2003,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2003/2004,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2004/2005,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2005/2006,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2006/2007,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2007/2008,FIRST TIME GRADE 12 GRAD,86
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2008/2009,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2009/2010,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2010/2011,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2011/2012,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,22,Vernon,,,1996/1997,FIRST TIME GRADE 12 GRAD,65
DISTRICT LEVEL,BC Public School,22,Vernon,,,1997/1998,FIRST TIME GRADE 12 GRAD,69
DISTRICT LEVEL,BC Public School,22,Vernon,,,1998/1999,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,22,Vernon,,,1999/2000,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,22,Vernon,,,2000/2001,FIRST TIME GRADE 12 GRAD,74
DISTRICT LEVEL,BC Public School,22,Vernon,,,2001/2002,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,22,Vernon,,,2002/2003,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,22,Vernon,,,2003/2004,FIRST TIME GRADE 12 GRAD,74
DISTRICT LEVEL,BC Public School,22,Vernon,,,2004/2005,FIRST TIME GRADE 12 GRAD,75
DISTRICT LEVEL,BC Public School,22,Vernon,,,2005/2006,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,22,Vernon,,,2006/2007,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,22,Vernon,,,2007/2008,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,22,Vernon,,,2008/2009,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,22,Vernon,,,2009/2010,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,22,Vernon,,,2010/2011,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,22,Vernon,,,2011/2012,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,1996/1997,FIRST TIME GRADE 12 GRAD,70
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,1997/1998,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,1998/1999,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,1999/2000,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2000/2001,FIRST TIME GRADE 12 GRAD,74
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2001/2002,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2002/2003,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2003/2004,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2004/2005,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2005/2006,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2006/2007,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2007/2008,FIRST TIME GRADE 12 GRAD,87
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2008/2009,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2009/2010,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2010/2011,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2011/2012,FIRST TIME GRADE 12 GRAD,87
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,1996/1997,FIRST TIME GRADE 12 GRAD,54
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,1997/1998,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,1998/1999,FIRST TIME GRADE 12 GRAD,59
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,1999/2000,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2000/2001,FIRST TIME GRADE 12 GRAD,62
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2001/2002,FIRST TIME GRADE 12 GRAD,61
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2002/2003,FIRST TIME GRADE 12 GRAD,63
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2003/2004,FIRST TIME GRADE 12 GRAD,55
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2004/2005,FIRST TIME GRADE 12 GRAD,57
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2005/2006,FIRST TIME GRADE 12 GRAD,56
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2006/2007,FIRST TIME GRADE 12 GRAD,63
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2007/2008,FIRST TIME GRADE 12 GRAD,63
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2008/2009,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2009/2010,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2010/2011,FIRST TIME GRADE 12 GRAD,69
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2011/2012,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,28,Quesnel,,,1996/1997,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,28,Quesnel,,,1997/1998,FIRST TIME GRADE 12 GRAD,65
DISTRICT LEVEL,BC Public School,28,Quesnel,,,1998/1999,FIRST TIME GRADE 12 GRAD,72
DISTRICT LEVEL,BC Public School,28,Quesnel,,,1999/2000,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2000/2001,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2001/2002,FIRST TIME GRADE 12 GRAD,81
