SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SURVEY_TOPIC,QUESTION_LABEL_LONG_DESCR,SURVEY_QUESTION,GRADE_GROUP_DESCRIPTION,NON_EXCLUDED_RESPONSES,MANY_OR_ALL_RESPONSES,MANY_OR_ALL_PCT
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535016,Willoughby Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,17,11,65
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535016,Willoughby Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,17,9,53
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535016,Willoughby Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,16,10,63
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535016,Willoughby Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,17,7,41
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535017,Glenwood Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535017,Glenwood Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535017,Glenwood Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535017,Glenwood Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535022,Simonds Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535022,Simonds Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535022,Simonds Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535022,Simonds Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535023,Coghlan Fundamental Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535023,Coghlan Fundamental Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535023,Coghlan Fundamental Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535023,Coghlan Fundamental Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535024,Wix-Brown Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535024,Wix-Brown Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535024,Wix-Brown Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535024,Wix-Brown Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535026,Peterson Road Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,22,16,73
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535026,Peterson Road Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,22,16,73
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535026,Peterson Road Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,22,14,64
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535026,Peterson Road Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,22,12,55
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535032,Parkside Centennial Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535032,Parkside Centennial Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535032,Parkside Centennial Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535032,Parkside Centennial Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535033,Blacklock Fine Arts Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,20,19,95
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535033,Blacklock Fine Arts Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,20,15,75
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535033,Blacklock Fine Arts Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,20,17,85
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535033,Blacklock Fine Arts Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,20,15,75
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535037,Nicomekl Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535037,Nicomekl Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535037,Nicomekl Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535037,Nicomekl Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535038,Alice Brown Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535038,Alice Brown Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535038,Alice Brown Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,10,6,60
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535038,Alice Brown Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,10,2,20
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535039,Uplands Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,10,5,50
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535039,Uplands Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,10,4,40
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535039,Uplands Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,10,7,70
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535039,Uplands Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,10,4,40
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535040,James Kennedy Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,17,14,82
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535040,James Kennedy Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,16,12,75
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535040,James Kennedy Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,17,13,76
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535040,James Kennedy Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,16,6,38
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535042,Shortreed Community School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535042,Shortreed Community School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535042,Shortreed Community School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535042,Shortreed Community School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535043,West Langley Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,17,12,71
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535043,West Langley Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,17,10,59
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535043,West Langley Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,17,15,88
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535043,West Langley Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,17,10,59
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535044,Noel Booth Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,21,12,57
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535044,Noel Booth Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,21,11,52
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535044,Noel Booth Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,19,15,79
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535044,Noel Booth Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,21,10,48
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535045,Douglas Park Community,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535045,Douglas Park Community,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535045,Douglas Park Community,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535045,Douglas Park Community,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535046,Langley Meadows Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,27,20,74
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535046,Langley Meadows Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,26,13,50
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535046,Langley Meadows Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,27,21,78
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535046,Langley Meadows Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,26,15,58
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535047,Alex Hope Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,43,35,81
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535047,Alex Hope Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,42,27,64
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535047,Alex Hope Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,43,38,88
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535047,Alex Hope Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,43,29,67
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535048,Gordon Greenwood Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535048,Gordon Greenwood Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535048,Gordon Greenwood Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535048,Gordon Greenwood Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535051,James Hill Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,10,8,80
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535051,James Hill Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,10,5,50
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535051,James Hill Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,10,7,70
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535051,James Hill Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,10,6,60
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535052,Langley Fundamental Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,43,35,81
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535052,Langley Fundamental Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,42,32,76
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535052,Langley Fundamental Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,43,34,79
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535052,Langley Fundamental Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,42,30,71
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535053,Dorothy Peacock Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535053,Dorothy Peacock Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535053,Dorothy Peacock Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535053,Dorothy Peacock Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535054,Topham Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,17,9,53
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535054,Topham Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,17,5,29
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535054,Topham Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,17,9,53
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535054,Topham Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,17,6,35
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535056,Langley Fundamental Middle/Secondary Sch,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535056,Langley Fundamental Middle/Secondary Sch,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535056,Langley Fundamental Middle/Secondary Sch,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535056,Langley Fundamental Middle/Secondary Sch,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535057,H D Stafford Middle,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535057,H D Stafford Middle,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535057,H D Stafford Middle,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535057,H D Stafford Middle,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535058,Betty Gilbert Middle,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,12,9,75
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535058,Betty Gilbert Middle,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,12,8,67
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535058,Betty Gilbert Middle,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,12,10,83
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535058,Betty Gilbert Middle,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,12,6,50
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535059,Langley Fine Arts Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,14,11,79
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535059,Langley Fine Arts Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,14,9,64
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535059,Langley Fine Arts Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,14,10,71
2010/2011,SCHOOL LEVEL,BC Public School,35,Langley,3535059,Langley Fine Arts Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,14,9,64
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636001,Hjorth Road Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636001,Hjorth Road Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636001,Hjorth Road Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636001,Hjorth Road Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636002,Port Kells Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636002,Port Kells Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636002,Port Kells Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636002,Port Kells Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636004,Cloverdale Traditional,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,13,11,85
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636004,Cloverdale Traditional,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,12,10,83
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636004,Cloverdale Traditional,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,13,11,85
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636004,Cloverdale Traditional,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,12,10,83
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636009,White Rock Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,14,9,64
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636009,White Rock Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,14,8,57
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636009,White Rock Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,14,9,64
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636009,White Rock Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,14,7,50
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636012,Colebrook Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636012,Colebrook Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636012,Colebrook Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636012,Colebrook Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636013,Clayton Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636013,Clayton Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636013,Clayton Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636013,Clayton Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636018,East Kensington Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636018,East Kensington Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636018,East Kensington Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636018,East Kensington Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,36,Surrey,3636019,Halls Prairie Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
