DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,77.4
DISTRICT LEVEL,BC Public School,22,Vernon,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,78.1
DISTRICT LEVEL,BC Public School,22,Vernon,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,22,Vernon,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,81.2
DISTRICT LEVEL,BC Public School,22,Vernon,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,86.2
DISTRICT LEVEL,BC Public School,22,Vernon,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,22,Vernon,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,83.8
DISTRICT LEVEL,BC Public School,22,Vernon,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,80.3
DISTRICT LEVEL,BC Public School,22,Vernon,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,79
DISTRICT LEVEL,BC Public School,22,Vernon,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,77.6
DISTRICT LEVEL,BC Public School,22,Vernon,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,78.3
DISTRICT LEVEL,BC Public School,22,Vernon,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,78.4
DISTRICT LEVEL,BC Public School,22,Vernon,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,79.3
DISTRICT LEVEL,BC Public School,22,Vernon,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,81.9
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,73.2
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,75.2
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,74.3
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,75.7
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,76.5
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,76.1
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,77.5
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,80.4
