SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,8,Kootenay Lake,807035,Redfish Elementary School,Standard,265 Bryan Rd,Nelson,BC,V1L6M9,250 229-4224,250 229-5676,49.6137,-117.048,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,886004,Adam Robertson Elementary,Standard,421 9th Ave North,Creston,BC,V0B1G0,250 428-2051,250 428-2019,49.1001,-116.515,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,886005,Jewett Elementary,Standard,132 Meadow Creek Rd,Meadow Creek,BC,V0G1N0,250 366-4224,250 366-4429,50.2403,-116.976,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,886006,Crawford Bay Elem-Secondary,Standard,16230 Wadds Rd,Crawford Bay,BC,V0B1E0,250 227-9218,250 227-9525,49.6834,-116.824,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,886007,Prince Charles Secondary,Standard,223 18 Ave S,Creston,BC,V0B1G0,250 428-2274,250 428-5090,49.0945,-116.505,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,886012,Yahk Elementary,Standard,8826 Railway Blvd,Yahk,BC,V0B2P0,250 424-5585,250 424-5220,49.0843,-116.094,ELEMENTARY,K-4,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,886014,Canyon/Lister Elementary,Standard,4575 Canyon-Lister Rd,Canyon,BC,V0B1C0,250 428-4161,250 428-2268,49.0825,-116.448,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,886016,Homelinks Centre,District Distance Ed,421 9 Ave N,Creston,BC,V0B1G0,250 428-2217,250 428-4990,49.0889,-116.512,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,886018,J V Humphries Elem-Secondary,Standard,500 6th St,Kaslo,BC,V0G1M0,250 353-2227,250 353-7434,49.912,-116.911,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,886019,Erickson Elementary,Standard,3523 Hwy #3,Erickson,BC,V0B1K0,250 428-2363,250 428-5783,49.0917,-116.469,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,898001,Distance Ed School of the Kootenays,District Distance Ed,811 Stanley St,Nelson,BC,V1L1N8,250 354-4311,250 505-7007,49.489,-117.293,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,899070,Kootenay Lake Learning Centre,Alternate,305 811 Stanley St,Nelson,BC,V1L1N8,250 505-7020,250 505-7021,49.4891,-117.293,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,899178,Wildflower,Standard,811 Stanley St,Nelson,BC,V1L1N8,250 354-4311,250 505-7007,49.489,-117.293,ELEMENTARY JR SECONDARY,08-Jan,TRUE,TRUE
2011/2012,BC Public School,10,Arrow Lakes,1010002,Burton Elementary,Standard,219 Burton School Road,Burton,BC,V0G1E0,250 265-3253,250 265-3426,49.9908,-117.877,ELEMENTARY,04-Jan,TRUE,FALSE
2011/2012,BC Public School,10,Arrow Lakes,1010003,Edgewood Elementary,Standard,409 Monashee Avenue,Edgewood,BC,V0G1J0,250 269-7212,250 269-7633,49.7813,-118.147,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,10,Arrow Lakes,1010004,Nakusp Elementary,Standard,619a 4th St NW,Nakusp,BC,V0G1R0,250 265-3731,250 265-3081,50.2441,-117.804,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,10,Arrow Lakes,1010006,Nakusp Secondary,Standard,619 4 St N W,Nakusp,BC,V0G1R0,250 265-3668,250 265-4616,50.2443,-117.805,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,10,Arrow Lakes,1010011,Lucerne Elem-Secondary,Standard,604 7th Avenue,New Denver,BC,V0G1S0,250 358-7222,250 358-2533,49.9925,-117.37,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,10,Arrow Lakes,1099217,Arrow Lakes Distributed Learning School,District Distance Ed,98 6th Ave Nw,Nakusp,BC,V0G1R0,250 265-3638,250 265-3701,50.2403,-117.8051,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,19,Revelstoke,1919003,Revelstoke Secondary,Standard,301 10th St East,Revelstoke,BC,V0E2S0,250 837-2173,250 837-7164,50.9916,-118.201,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,19,Revelstoke,1919005,Mountain View Elementary,Standard,601-2nd St West,Revelstoke,BC,V0E2S0,250 837-3320,,51.0013,-118.202,ELEMENTARY,K-7,TRUE,FALSE
